Date,Open,High,Low,Close,Volume,Quote Volume
2018-12-10 00:00,6811.7,7062.27,6794.29,6983.84,151968.92,1065899175.14
2018-12-10 01:00,6983.84,7127.87,6912.17,6924.53,126961.81,894005135.16
2018-12-10 02:00,6924.53,7020.29,6809.46,6876.9,155468.35,1071580134.95
2018-12-10 03:00,6876.9,6943.07,6791.53,6933.32,137936.84,940542677.46
2018-12-10 04:00,6933.32,6934.29,6799.48,6870.76,91930.79,630913398.42
2018-12-10 05:00,6870.76,6916.9,6821.01,6859.06,110801.94,763391124.42
2018-12-10 06:00,6859.06,6885.62,6676.36,6756.19,189782.35,1284323288.14
2018-12-10 07:00,6756.19,6874.12,6700.49,6792.1,128822.61,873051374.92
2018-12-10 08:00,6792.1,6862.73,6712.64,6734.29,111059.39,755369385.09
2018-12-10 09:00,6734.29,6846.11,6687.11,6804.89,132000.44,896302574.13
2018-12-10 10:00,6804.89,6892.45,6781.87,6812.15,82787.78,564647300.42
2018-12-10 11:00,6812.15,6945.85,6787.27,6813.06,107134.51,732697553.27
2018-12-10 12:00,6813.06,6814.42,6706.56,6805.08,125242.94,845981880.42
2018-12-10 13:00,6805.08,6956.52,6776.45,6881.57,107647.16,735974700.87
2018-12-10 14:00,6881.57,6881.57,6713.43,6753.22,141346.23,962634410.49
2018-12-10 15:00,6753.22,6753.22,6561.93,6674.46,275647.84,1819300503.18
2018-12-10 16:00,6674.46,6776.39,6561.87,6694.32,241797.19,1613180283.42
2018-12-10 17:00,6694.32,6776.46,6583.79,6662.67,135351.25,900198672.27
2018-12-10 18:00,6662.67,6756.73,6617.14,6690.87,125853.28,841928324.98
2018-12-10 19:00,6690.87,6751.06,6581.33,6608.58,152265.83,1011589531.64
2018-12-10 20:00,6608.58,6760.7,6587.23,6736.75,138253.87,919652329.16
2018-12-10 21:00,6736.75,6802.7,6657.07,6787.35,115180.91,773554741.85
2018-12-10 22:00,6787.35,6787.35,6618.35,6750.23,97317.58,651379271.17
